Year,Scientific Name,Country,Conservation Status,Kilotons of Co2,Metric Tons Per Capita,Population,GDP,Fossils,Renewables
2016,Crocodylus siamensis,Cambodia,Critically Endangered,11070.0,0.71,15624586.0,51749834752.0,2.62,2.81
2013,Crocodylus mindorensis,Philippines,Critically Endangered,95500.0,0.96,99700112.0,669825564672.0,55.06,20.18
2006,Crocodylus palustris,Sri Lanka,Vulnerable,12400.0,0.63,19870706.0,136077287424.0,4.55,3.86
2009,Crocodylus suchus,Chad,Least Concern,790.0,0.07,11496138.0,17078455296.0,0.17,0.01
2017,Crocodylus siamensis,Thailand,Critically Endangered,258820.01,3.65,70898208.0,1079232954368.0,161.88,19.92
2011,Crocodylus acutus,Colombia,Vulnerable,69100.0,1.53,45308896.0,524200738816.0,10.11,48.81
2011,Crocodylus palustris,Pakistan,Vulnerable,141700.0,0.71,198602736.0,845085933568.0,61.62,29.37
2008,Crocodylus niloticus,Kenya,Least Concern,9910.0,0.25,39186896.0,92973744128.0,2.22,4.18
2014,Crocodylus novaeguineae,Indonesia,Least Concern,483910.0,1.89,256229760.0,2526852677632.0,203.11,34.41
2016,Mecistops cataphractus,Guinea,Critically Endangered,2820.0,0.24,11930991.0,15905507328.0,0.51,1.1
2016,Mecistops cataphractus,Ghana,Critically Endangered,16070.0,0.54,29554298.0,103444160512.0,5.84,5.56
2011,Crocodylus porosus,Philippines,Least Concern,82630.0,0.86,96337912.0,586460954624.0,49.04,20.09
2015,Crocodylus johnstoni,Australia,Least Concern,377799.99,15.86,23820240.0,1145386827776.0,197.72,33.12
2012,Crocodylus mindorensis,Philippines,Critically Endangered,86180.0,0.88,98032320.0,625662230528.0,51.82,21.06
2012,Crocodylus siamensis,Vietnam,Critically Endangered,155520.0,1.74,89301328.0,456298921984.0,61.73,53.42
2018,Mecistops cataphractus,Liberia,Critically Endangered,1130.0,0.23,4889396.0,3936415744.0,0.32,0.0
2016,Crocodylus johnstoni,Australia,Least Concern,384989.99,15.91,24195706.0,1176481300480.0,207.66,38.41
2018,Crocodylus moreletii,Mexico,Least Concern,452570.01,3.65,124013864.0,2006599729152.0,259.92,58.78
2017,Crocodylus palustris,Sri Lanka,Vulnerable,23360.0,1.09,21506816.0,245345992704.0,10.1,4.59
2018,Crocodylus novaeguineae,Indonesia,Least Concern,576989.99,2.16,267066848.0,3075456106496.0,235.41,48.38
2013,Crocodylus moreletii,Mexico,Least Concern,475739.99,4.06,117290680.0,1810561761280.0,231.23,44.67
2008,Crocodylus acutus,Colombia,Vulnerable,59780.0,1.36,43815316.0,465645797376.0,8.77,46.19
2007,Mecistops cataphractus,Ghana,Critically Endangered,9120.0,0.38,23708328.0,55855472640.0,3.06,3.71
2015,Crocodylus porosus,Philippines,Least Concern,111010.0,1.08,103031360.0,753489674240.0,60.82,21.59
2014,Crocodylus acutus,Mexico,Vulnerable,462239.99,3.89,118755888.0,1851266170880.0,223.43,57.46
2005,Crocodylus niloticus,Kenya,Least Concern,8320.0,0.23,35843016.0,77598875648.0,1.69,4.18
2011,Mecistops leptorhynchus,Cameroon,Endangered,6810.0,0.33,20448880.0,53836398592.0,1.38,4.35
2011,Crocodylus rhombifer,Cuba,Critically Endangered,27590.0,2.44,11298713.0,78036992000.0,14.99,1.74
2007,Crocodylus acutus,Cuba,Vulnerable,27680.0,2.46,11269890.0,63463485440.0,14.67,1.93
2008,Osteolaemus tetraspis,Liberia,Vulnerable,540.0,0.14,3783892.0,2922602240.0,0.25,0.0
2016,Mecistops leptorhynchus,Cameroon,Endangered,9080.0,0.38,23711626.0,70686400512.0,2.58,4.34
2006,Crocodylus niloticus,Egypt,Least Concern,170750.0,2.12,80629664.0,649072410624.0,96.08,13.42
2012,Crocodylus johnstoni,Australia,Least Concern,386970.0,17.02,22729272.0,1064162361344.0,206.75,26.63
2009,Crocodylus acutus,Cuba,Vulnerable,26980.0,2.39,11283184.0,70355910656.0,14.82,1.89
2012,Crocodylus moreletii,Mexico,Least Concern,486450.01,4.2,115755912.0,1785373786112.0,229.14,47.2
2009,Mecistops leptorhynchus,Cameroon,Endangered,7030.0,0.36,19319276.0,48395714560.0,1.59,3.98
2014,Mecistops leptorhynchus,Gabon,Endangered,5960.0,3.03,1966858.0,33268465664.0,1.13,0.79
2009,Crocodylus novaeguineae,Indonesia,Least Concern,391079.99,1.62,240981296.0,1886334484480.0,136.05,26.79
2006,Crocodylus niloticus,South Africa,Least Concern,379790.01,7.67,49491764.0,485980667904.0,223.25,3.28
2006,Crocodylus niloticus,Kenya,Least Concern,9300.0,0.25,36925260.0,83653541888.0,1.84,4.48
2010,Crocodylus porosus,India,Least Concern,1659979.98,1.34,1240613632.0,5314516615168.0,771.78,142.61
2017,Crocodylus siamensis,Vietnam,Critically Endangered,230450.0,2.45,94033048.0,617774710784.0,103.56,88.04
2005,Crocodylus niloticus,Tanzania,Least Concern,5660.0,0.14,39439508.0,60800811008.0,1.3,2.13
2018,Crocodylus suchus,Mauritania,Least Concern,3690.0,0.86,4270717.0,13278341120.0,1.26,0.43
2009,Crocodylus intermedius,Venezuela,Critically Endangered,152590.0,5.39,28327896.0,475066335232.0,31.6,85.1
2016,Osteolaemus tetraspis,Ghana,Vulnerable,16070.0,0.54,29554298.0,103444160512.0,5.84,5.56
2013,Crocodylus rhombifer,Cuba,Critically Endangered,28870.0,2.55,11321583.0,83013746688.0,16.4,1.77
2007,Osteolaemus tetraspis,Ghana,Vulnerable,9120.0,0.38,23708328.0,55855472640.0,3.06,3.71
2014,Crocodylus porosus,Philippines,Least Concern,101820.0,1.0,101325208.0,711518781440.0,57.07,20.18
2010,Crocodylus palustris,Nepal,Vulnerable,4640.0,0.17,27161572.0,57388249088.0,0.0,3.18
2005,Crocodylus intermedius,Venezuela,Critically Endangered,147380.0,5.53,26668790.0,384106692608.0,24.93,76.46
2006,Crocodylus porosus,India,Least Concern,1215209.96,1.04,1172373760.0,4024058511360.0,599.24,127.56
2006,Crocodylus niloticus,Nigeria,Least Concern,88770.0,0.62,144329760.0,527646261248.0,15.83,6.21
2005,Crocodylus moreletii,Mexico,Least Concern,432190.0,4.1,105442400.0,1427076808704.0,178.76,42.29
2010,Crocodylus siamensis,Vietnam,Critically Endangered,151410.0,1.73,87411016.0,409655377920.0,63.1,28.62
2018,Mecistops leptorhynchus,Gabon,Endangered,5120.0,2.34,2192013.0,36693262336.0,1.26,0.91
2013,Crocodylus suchus,Chad,Least Concern,2190.0,0.17,13216769.0,24345667584.0,0.26,0.0
2007,Osteolaemus tetraspis,Liberia,Vulnerable,640.0,0.18,3632748.0,2664910080.0,0.25,0.0
2005,Crocodylus niloticus,Uganda,Least Concern,2020.0,0.07,27946586.0,40921112576.0,0.11,1.84
2016,Crocodylus suchus,Chad,Least Concern,2210.0,0.15,14592587.0,31254114304.0,0.28,0.01
2010,Crocodylus porosus,Philippines,Least Concern,81930.0,0.87,94636704.0,561436033024.0,46.55,18.15
2013,Crocodylus acutus,Mexico,Vulnerable,475739.99,4.06,117290680.0,1810561761280.0,231.23,44.67
2012,Crocodylus palustris,Sri Lanka,Vulnerable,16850.0,0.83,21017150.0,198073286656.0,7.89,3.48
2017,Crocodylus novaeguineae,Indonesia,Least Concern,517320.01,1.96,264498848.0,2924271370240.0,222.64,43.17
2007,Osteolaemus tetraspis,Sierra Leone,Vulnerable,500.0,0.08,5939169.0,6495486464.0,0.04,0.02
2006,Mecistops leptorhynchus,Gabon,Endangered,5440.0,3.62,1502540.0,17083860992.0,0.67,0.94
2007,Crocodylus palustris,Sri Lanka,Vulnerable,13590.0,0.68,20078652.0,144588128256.0,5.57,3.94
2016,Crocodylus intermedius,Venezuela,Critically Endangered,151070.01,4.91,30741464.0,456477147136.0,42.25,62.43
2008,Crocodylus niloticus,Tanzania,Least Concern,6080.0,0.14,42870888.0,78843625472.0,1.28,2.98
2014,Crocodylus suchus,Mali,Least Concern,3380.0,0.19,17551824.0,22278942720.0,0.85,1.51
2016,Crocodylus niloticus,Uganda,Least Concern,4950.0,0.13,38748308.0,77532053504.0,0.29,3.48
2014,Crocodylus rhombifer,Cuba,Critically Endangered,26690.0,2.36,11332030.0,85723463680.0,16.52,1.8
2005,Mecistops leptorhynchus,Cameroon,Endangered,5020.0,0.29,17275174.0,40566829056.0,0.22,3.73
2008,Osteolaemus tetraspis,Cameroon,Vulnerable,6390.0,0.34,18777082.0,46686605312.0,1.29,4.19
2007,Crocodylus suchus,Niger,Least Concern,820.0,0.06,14897877.0,10715390976.0,0.21,0.0
2014,Crocodylus suchus,Senegal,Least Concern,8570.0,0.61,13970314.0,33021583360.0,3.15,0.49
2017,Crocodylus intermedius,Colombia,Critically Endangered,74990.0,1.55,48351668.0,635907473408.0,16.07,61.39
2009,Mecistops cataphractus,Nigeria,Critically Endangered,76950.0,0.49,156595744.0,709980389376.0,14.33,4.49
2016,Osteolaemus tetraspis,Guinea,Vulnerable,2820.0,0.24,11930991.0,15905507328.0,0.51,1.1
2017,Osteolaemus tetraspis,Liberia,Vulnerable,1280.0,0.27,4796632.0,3885372928.0,0.37,0.0
2018,Crocodylus intermedius,Colombia,Critically Endangered,78590.0,1.59,49276968.0,651900551168.0,19.11,60.08
2007,Crocodylus niloticus,South Africa,Least Concern,397060.0,7.94,49996096.0,521805725696.0,232.91,1.3
2011,Crocodylus suchus,Niger,Least Concern,1410.0,0.08,17283118.0,12993281024.0,0.32,0.0
2010,Crocodylus porosus,Australia,Least Concern,387540.01,17.59,22019166.0,994067742720.0,212.5,21.13
2014,Crocodylus moreletii,Guatemala,Least Concern,13950.0,0.91,15713744.0,111915376640.0,3.83,6.86
2007,Mecistops cataphractus,Sierra Leone,Critically Endangered,500.0,0.08,5939169.0,6495486464.0,0.04,0.02
2006,Crocodylus siamensis,Vietnam,Critically Endangered,94870.0,1.13,83951800.0,327378436096.0,38.13,19.77
2005,Osteolaemus tetraspis,Ghana,Vulnerable,7040.0,0.31,22496952.0,50453082112.0,1.1,5.58
2007,Crocodylus mindorensis,Philippines,Critically Endangered,73220.0,0.82,89561376.0,483816439808.0,38.29,18.8
2013,Crocodylus acutus,Colombia,Vulnerable,76860.0,1.66,46237928.0,571946893312.0,21.71,50.48
2007,Crocodylus novaeguineae,Indonesia,Least Concern,379959.99,1.62,234858288.0,1661589520384.0,124.1,24.29
2015,Crocodylus palustris,Pakistan,Vulnerable,164130.0,0.78,210969296.0,1039812853760.0,71.17,36.82
2008,Crocodylus rhombifer,Cuba,Critically Endangered,26750.0,2.37,11276607.0,67603095552.0,14.7,1.97
2010,Crocodylus palustris,Pakistan,Vulnerable,140620.0,0.72,194454496.0,805483315200.0,59.31,32.6
2017,Crocodylus mindorensis,Philippines,Critically Endangered,133500.0,1.25,106738496.0,858818805760.0,71.03,23.35
2007,Crocodylus niloticus,Uganda,Least Concern,2870.0,0.1,29629804.0,46853861376.0,0.56,1.41
2014,Mecistops cataphractus,Nigeria,Critically Endangered,114830.0,0.64,179379024.0,1021285564416.0,25.26,5.34
2006,Crocodylus mindorensis,Philippines,Critically Endangered,69470.0,0.79,87901832.0,450316369920.0,34.12,20.39
2012,Crocodylus acutus,Cuba,Vulnerable,28690.0,2.54,11309292.0,80388153344.0,15.55,1.82
2005,Crocodylus palustris,India,Vulnerable,1136469.97,0.98,1154638720.0,3709371154432.0,579.32,107.47
2006,Crocodylus palustris,India,Vulnerable,1215209.96,1.04,1172373760.0,4024058511360.0,599.24,127.56
2011,Crocodylus siamensis,Vietnam,Critically Endangered,155970.0,1.77,88349104.0,433527848960.0,60.32,41.19
2011,Crocodylus johnstoni,Australia,Least Concern,386380.0,17.3,22357032.0,1026035417088.0,213.56,27.33
2009,Crocodylus palustris,India,Vulnerable,1564880.0,1.28,1223640192.0,4945730863104.0,728.56,134.33
2005,Mecistops cataphractus,Sierra Leone,Critically Endangered,450.0,0.08,5683338.0,5761186816.0,0.06,0.02
2008,Crocodylus moreletii,Guatemala,Least Concern,11240.0,0.82,13979451.0,93355040768.0,3.39,5.05
2006,Osteolaemus tetraspis,Sierra Leone,Vulnerable,590.0,0.1,5809778.0,6009264128.0,0.04,0.0
2011,Osteolaemus tetraspis,Cameroon,Vulnerable,6810.0,0.33,20448880.0,53836398592.0,1.38,4.35
2010,Osteolaemus tetraspis,Ghana,Vulnerable,11190.0,0.44,25574722.0,68838727680.0,2.98,6.95
2011,Crocodylus suchus,Mali,Least Concern,3120.0,0.19,16039734.0,20518699008.0,0.66,1.24
2009,Crocodylus porosus,Indonesia,Least Concern,391079.99,1.62,240981296.0,1886334484480.0,136.05,26.79
2011,Crocodylus acutus,United States,Vulnerable,5173600.1,16.6,313876608.0,15509302018048.0,2788.93,509.74
2010,Crocodylus acutus,Cuba,Vulnerable,28110.0,2.49,11290420.0,74083581952.0,14.66,1.73
2011,Crocodylus palustris,Nepal,Vulnerable,5200.0,0.19,27266398.0,59280310272.0,0.0,3.46
2010,Crocodylus acutus,Colombia,Vulnerable,63560.0,1.42,44816104.0,491900633088.0,15.96,40.66
2017,Crocodylus palustris,India,Vulnerable,2320409.91,1.71,1354195712.0,8275647004672.0,1198.85,234.9
2015,Osteolaemus tetraspis,Liberia,Vulnerable,1260.0,0.27,4612330.0,3857900032.0,0.29,0.0
2015,Mecistops cataphractus,Ghana,Critically Endangered,15780.0,0.55,28870946.0,99411263488.0,5.36,5.81
2008,Crocodylus moreletii,Mexico,Least Concern,459549.99,4.19,109684496.0,1607400947712.0,184.51,53.22
2010,Osteolaemus tetraspis,Sierra Leone,Vulnerable,560.0,0.09,6436699.0,7455364096.0,0.04,0.12
2013,Crocodylus niloticus,Uganda,Least Concern,3690.0,0.1,35273568.0,66627399680.0,0.14,2.45
2008,Crocodylus niloticus,Nigeria,Least Concern,86930.0,0.57,152382512.0,638942773248.0,14.47,5.67
2018,Crocodylus rhombifer,Cuba,Critically Endangered,26710.0,2.36,11328243.0,92551012352.0,17.64,2.0
2008,Crocodylus palustris,Nepal,Vulnerable,2990.0,0.11,26881542.0,52545966080.0,0.01,2.79
2007,Crocodylus siamensis,Thailand,Critically Endangered,224590.0,3.36,66826752.0,822075064320.0,122.12,10.2
2017,Crocodylus porosus,Indonesia,Least Concern,517320.01,1.96,264498848.0,2924271370240.0,222.64,43.17
2007,Crocodylus suchus,Mauritania,Least Concern,1990.0,0.63,3153519.0,8570478592.0,0.42,0.05
2007,Crocodylus johnstoni,Australia,Least Concern,385750.0,18.52,20830832.0,913875861504.0,208.59,20.93
2008,Mecistops cataphractus,Nigeria,Critically Endangered,86930.0,0.57,152382512.0,638942773248.0,14.47,5.67
2012,Crocodylus palustris,Pakistan,Vulnerable,143810.0,0.71,202205856.0,884405436416.0,62.13,30.7
2017,Crocodylus porosus,Malaysia,Least Concern,227620.0,7.12,31975812.0,738639609856.0,132.7,27.94
2018,Mecistops cataphractus,Guinea,Critically Endangered,3750.0,0.3,12554871.0,19045322752.0,0.73,0.76
2016,Osteolaemus tetraspis,Liberia,Vulnerable,1410.0,0.3,4706106.0,3793504000.0,0.38,0.0
2017,Crocodylus porosus,Australia,Least Concern,389160.0,15.82,24590336.0,1205343092736.0,209.14,40.77
2006,Crocodylus palustris,Pakistan,Vulnerable,132480.0,0.74,178069984.0,685964984320.0,59.1,32.66
2015,Crocodylus palustris,Sri Lanka,Vulnerable,20360.0,0.97,21336692.0,226113847296.0,6.38,6.34
2008,Mecistops cataphractus,Guinea,Critically Endangered,2010.0,0.21,9779793.0,11730749440.0,0.44,0.52
2005,Crocodylus palustris,Sri Lanka,Vulnerable,13980.0,0.72,19673866.0,126997200896.0,5.5,3.43
2014,Osteolaemus tetraspis,Sierra Leone,Vulnerable,1150.0,0.16,7140700.0,11528208384.0,0.04,0.15
2017,Mecistops leptorhynchus,Cameroon,Endangered,9170.0,0.38,24393182.0,73195061248.0,2.78,5.06
2016,Crocodylus palustris,Sri Lanka,Vulnerable,21930.0,1.03,21425494.0,236870762496.0,9.01,4.68
2018,Mecistops leptorhynchus,Cameroon,Endangered,9590.0,0.38,25076752.0,76168241152.0,3.29,4.99
2008,Crocodylus acutus,Cuba,Vulnerable,26750.0,2.37,11276607.0,67603095552.0,14.7,1.97
2012,Crocodylus niloticus,Tanzania,Least Concern,9870.0,0.21,47786136.0,108488548352.0,3.16,2.31
2012,Mecistops cataphractus,Nigeria,Critically Endangered,95340.0,0.56,170075936.0,909649182720.0,21.66,5.64
2012,Crocodylus intermedius,Colombia,Critically Endangered,69700.0,1.52,45782420.0,545385086976.0,12.96,47.58
2012,Crocodylus suchus,Chad,Least Concern,1860.0,0.15,12754912.0,22282383360.0,0.23,0.0
2015,Mecistops leptorhynchus,Gabon,Endangered,6120.0,3.02,2028524.0,35035176960.0,1.12,0.93
2012,Mecistops cataphractus,Guinea,Critically Endangered,2480.0,0.23,10788696.0,14087314432.0,0.22,0.49
2012,Osteolaemus tetraspis,Sierra Leone,Vulnerable,860.0,0.13,6788594.0,9134189568.0,0.06,0.12
2008,Crocodylus palustris,Iran,Vulnerable,523049.99,7.13,73318400.0,1141269463040.0,202.85,7.64
2012,Crocodylus niloticus,Egypt,Least Concern,215000.0,2.36,91240384.0,945768431616.0,150.04,14.35
2007,Mecistops cataphractus,Nigeria,Critically Endangered,81120.0,0.55,148294032.0,581024743424.0,15.74,6.17
2015,Crocodylus suchus,Mauritania,Least Concern,3560.0,0.9,3946225.0,12316128256.0,0.82,0.32
2010,Mecistops cataphractus,Sierra Leone,Critically Endangered,560.0,0.09,6436699.0,7455364096.0,0.04,0.12
